GRIN2B	UniProtKB:Q13224	Glutamate receptor ionotropic, NMDA 2B
GRIN2B	UniProtKB:Q13224	Glutamate receptor ionotropic, NMDA 2B
CLDND1	UniProtKB:Q9NY35	Claudin domain-containing protein 1
CLEC5A	UniProtKB:Q9NY25	C-type lectin domain family 5 member A
MIF	UniProtKB:P14174	Macrophage migration inhibitory factor
SELL	UniProtKB:P14151	L-selectin
BTNL10P	UniProtKB:A8MVZ5	Putative butyrophilin-like protein 10 pseudogene
GFRA4	UniProtKB:Q9GZZ7	GDNF family receptor alpha-4
TMX3	UniProtKB:Q96JJ7	Protein disulfide-isomerase TMX3
TMX3	UniProtKB:Q96JJ7	Protein disulfide-isomerase TMX3
FZD4	UniProtKB:Q9ULV1	Frizzled-4
NOTCH3	UniProtKB:Q9UM47	Neurogenic locus notch homolog protein 3
HHLA2	UniProtKB:Q9UM44	HERV-H LTR-associating protein 2
CD8B	UniProtKB:P10966	T-cell surface glycoprotein CD8 beta chain
SLC34A1	UniProtKB:Q06495	Sodium-dependent phosphate transport protein 2A
HLA-G	UniProtKB:P17693	HLA class I histocompatibility antigen, alpha chain G
PLXNB3	UniProtKB:Q9ULL4	Plexin-B3
ADTRP	UniProtKB:Q96IZ2	Androgen-dependent TFPI-regulating protein
GHR	UniProtKB:P10912	Growth hormone receptor
GHR	UniProtKB:P10912	Growth hormone receptor
HEG1	UniProtKB:Q9ULI3	Protein HEG homolog 1
ITGB4	UniProtKB:P16144	Integrin beta-4
ITGB4	UniProtKB:P16144	Integrin beta-4
ITGB4	UniProtKB:P16144	Integrin beta-4
LRFN2	UniProtKB:Q9ULH4	Leucine-rich repeat and fibronectin type-III domain-containing protein 2
TYRO3	UniProtKB:Q06418	Tyrosine-protein kinase receptor TYRO3
NRXN1	UniProtKB:Q9ULB1	Neurexin-1
CLEC4M	UniProtKB:Q9H2X3	C-type lectin domain family 4 member M
FCN3	UniProtKB:O75636	Ficolin-3
CD209	UniProtKB:Q9NNX6	CD209 antigen
CD209	UniProtKB:Q9NNX6	CD209 antigen
CD209	UniProtKB:Q9NNX6	CD209 antigen
MOG	UniProtKB:Q16653	Myelin-oligodendrocyte glycoprotein
PRND	UniProtKB:Q9UKY0	Prion-like protein doppel
PRND	UniProtKB:Q9UKY0	Prion-like protein doppel
GP1BA	UniProtKB:P07359	Platelet glycoprotein Ib alpha chain
GP1BA	UniProtKB:P07359	Platelet glycoprotein Ib alpha chain
ITGA11	UniProtKB:Q9UKX5	Integrin alpha-11
SLC46A1	UniProtKB:Q96NT5	Proton-coupled folate transporter
IL2RB	UniProtKB:P14784	Interleukin-2 receptor subunit beta
IL2RB	UniProtKB:P14784	Interleukin-2 receptor subunit beta
IL2RB	UniProtKB:P14784	Interleukin-2 receptor subunit beta
IL2RB	UniProtKB:P14784	Interleukin-2 receptor subunit beta
IL2RB	UniProtKB:P14784	Interleukin-2 receptor subunit beta
SLC7A11	UniProtKB:Q9UPY5	Cystine/glutamate transporter
CTSB	UniProtKB:P07858	Cathepsin B
LRFN5	UniProtKB:Q96NI6	Leucine-rich repeat and fibronectin type-III domain-containing protein 5
PACC1	UniProtKB:Q9H813	Proton-activated chloride channel
PSG8	UniProtKB:Q9UQ74	Pregnancy-specific beta-1-glycoprotein 8
